iter	RMSE
201	0.5940982753
202	0.5939824711
203	0.5938014789
204	0.5937447279
205	0.5936014337
206	0.5933840928
207	0.5933316173
208	0.5931339261
209	0.592940143
210	0.5928865036
211	0.5928158642
212	0.5926930744
213	0.5923964036
214	0.5921875911
215	0.5920041898
216	0.5917750451
217	0.5915299044
218	0.5914768865
219	0.5911929728
220	0.5910583333
221	0.5907596026
222	0.5905235912
223	0.5902379262
224	0.5900445635
225	0.5899901272
226	0.5897728736
227	0.5895842748
228	0.589395138
229	0.5892264905
230	0.5891707243
231	0.5889746082
232	0.5888016131
233	0.5887523691
234	0.5885933548
235	0.5885416983
236	0.5882586142
237	0.5880127525
238	0.5879618569
239	0.5879091952
240	0.587794035
241	0.5875720985
242	0.5875226712
243	0.587298125
244	0.5871635032
245	0.5869984869
246	0.5867605646
247	0.586591545
248	0.5865400079
249	0.5862209307
250	0.5860343824
251	0.5859863472
252	0.5859384469
253	0.5857648321
254	0.5857179535
255	0.5855575673
256	0.5853857769
257	0.5852991958
258	0.585080405
259	0.5849584475
260	0.5849096488
261	0.5847177115
262	0.5845309084
263	0.5843327012
264	0.5841536805
265	0.5841053154
266	0.5838800837
267	0.5836448921
268	0.5834401685
269	0.583232465
270	0.5831845156
271	0.5830062232
272	0.5828293363
273	0.5827821142
274	0.5827065386
275	0.5825157268
276	0.5824714371
277	0.5823478577
278	0.5821845031
279	0.5821380785
280	0.5820008121
281	0.5818446716
282	0.581628794
283	0.5814728974
284	0.5814271855
285	0.5812611083
286	0.5811087323
287	0.5810634901
288	0.5809107518
289	0.5807715063
290	0.5805669993
291	0.580522077
292	0.5803689933
293	0.5803254754
294	0.5801363149
295	0.5800790955
296	0.579961223
297	0.5797465713
298	0.5795649041
299	0.5795208695
300	0.5794772637
301	0.5794340007
302	0.579291524
303	0.5790876621
304	0.5789141493
305	0.5787593795
306	0.5787164595
307	0.5786002556
308	0.5785578745
309	0.5783734133
310	0.5783313956
311	0.5782421493
312	0.5781278903
313	0.5779790709
314	0.5778463662
315	0.577804557
316	0.5776815717
317	0.5776072757
318	0.577470193
319	0.5772701695
320	0.577228795
321	0.57707531
322	0.5770343553
323	0.5769938389
324	0.5768435805
325	0.5767040822
326	0.5765792743
327	0.5764619374
328	0.5764046369
329	0.5763640709
330	0.5761965387
331	0.5761366708
332	0.5759257551
333	0.5758855419
334	0.5757963377
335	0.5757586162
336	0.5757193113
337	0.5755332892
338	0.5754027532
339	0.5753636553
340	0.5752779309
341	0.575142179
342	0.5748686172
343	0.5748296935
344	0.5746017603
345	0.5745055213
346	0.5743808671
347	0.574145519
348	0.5741084519
349	0.5740702416
350	0.5739250071
351	0.5738045144
352	0.5737665892
353	0.5735469888
354	0.5733829289
355	0.5733452778
356	0.5731789883
357	0.5730294749
358	0.5729011233
359	0.5728634955
360	0.5727359325
361	0.5726317519
362	0.5725945544
363	0.5725395753
364	0.5724094218
365	0.5722361096
366	0.5721230935
367	0.5720175016
368	0.5719816527
369	0.5718375646
370	0.5717059501
371	0.5716218291
372	0.571510281
373	0.5714736025
374	0.5713502331
375	0.5712730822
376	0.5711165393
377	0.5710631886
378	0.5710266667
379	0.5709903673
380	0.5708705798
381	0.5708199951
382	0.5707841098
383	0.5707485872
384	0.5706399467
385	0.5705744692
386	0.5703858858
387	0.5702531528
388	0.5702177936
389	0.5700645741
390	0.5700293868
391	0.5699944542
392	0.5699149095
393	0.5698803109
394	0.5698460172
395	0.5697522803
396	0.5697181495
397	0.5695891267
398	0.5694372398
399	0.5693064068
400	0.5692723663
401	0.5691165441
402	0.568994831
403	0.5688666931
404	0.568742019
405	0.5686192046
406	0.5685349
407	0.5685010012
408	0.5684429417
409	0.5681862403
410	0.5681523917
411	0.5681189949
412	0.5679560266
413	0.5678404204
414	0.5677530449
415	0.5677199632
416	0.5676871168
417	0.5675552885
418	0.5674773947
419	0.5672949057
420	0.567187259
421	0.5670394205
422	0.5668478473
423	0.5666640281
424	0.5666315623
425	0.5665765549
426	0.5665439434
427	0.566390871
428	0.5662934085
429	0.5661451722
430	0.5660399819
431	0.566007453
432	0.5658553904
433	0.5657398267
434	0.5655231047
435	0.5654425126
436	0.5654077525
437	0.5653756824
438	0.5652560247
439	0.5651574442
440	0.5650461109
441	0.5649958867
442	0.5649132315
443	0.5648163449
444	0.564699383
445	0.564637451
446	0.5646070815
447	0.5645754806
448	0.5645440611
449	0.5645128236
450	0.5643958475
451	0.5643201361
452	0.5642557977
453	0.5641699953
454	0.5640663323
455	0.5640198347
456	0.563885134
457	0.5638013279
458	0.5637703045
459	0.5636600632
460	0.5636292401
461	0.5635985714
462	0.5635680637
463	0.5635354403
464	0.5634320785
465	0.5634017646
466	0.5633448088
467	0.5632305015
468	0.5630996319
469	0.5630696046
470	0.5630163717
471	0.562945622
472	0.5629157854
473	0.5628143917
474	0.5627885881
475	0.5626652753
476	0.5625800815
477	0.5624388098
478	0.5623224544
479	0.5622545213
480	0.5621472008
481	0.5620697968
482	0.5620356695
483	0.5619018952
484	0.5618427583
485	0.5618131885
486	0.5617837196
487	0.5616526136
488	0.5616232125
489	0.5615939932
490	0.561564891
491	0.5614483665
492	0.5613338463
493	0.5612912434
494	0.5612623504
495	0.5611552783
496	0.5609772257
497	0.5609138688
498	0.5607520862
499	0.5607233625
500	0.5606236457
501	0.5604780862
502	0.5604326462
503	0.5603166841
504	0.5601989501
505	0.5601266318
506	0.5600131742
507	0.5598555917
508	0.5598269462
509	0.5597275907
510	0.5596569283
511	0.5596079465
512	0.5594914932
513	0.5594629788
514	0.5593504563
515	0.5592380936
516	0.5592097108
517	0.5591678321
518	0.559139632
519	0.5590383551
520	0.5589723541
521	0.5589443019
522	0.5588669554
523	0.5588390739
524	0.5587992534
525	0.5586935482
526	0.5585844638
527	0.5585329583
528	0.5584334401
529	0.5584056874
530	0.5583421597
531	0.5583145328
532	0.558236875
533	0.5582093755
534	0.5580461759
535	0.558018619
536	0.5578603388
537	0.5578006165
538	0.5576797803
539	0.5576524091
540	0.5576252193
541	0.5575801841
542	0.5575545767
543	0.5574797536
544	0.5573658164
545	0.5572926611
546	0.5572503076
547	0.5572087236
548	0.5570745603
549	0.5570477123
550	0.5569412003
551	0.5569164906
552	0.556741459
553	0.5567147354
554	0.5566127122
555	0.5565228498
556	0.556421699
557	0.556317102
558	0.5562654315
559	0.5562388314
560	0.5562122671
561	0.5561341103
562	0.55610768
563	0.5560827487
564	0.5559515088
565	0.5559252095
566	0.5557878287
567	0.5557530808
568	0.5556278351
569	0.555537159
570	0.5555130642
571	0.5554441356
572	0.5553949353
573	0.5553459658
574	0.5553199689
575	0.5552535583
576	0.5551798664
577	0.5551147012
578	0.555088777
579	0.5550650127
580	0.5550092717
581	0.5549561515
582	0.5549322151
583	0.5548848975
584	0.5548131742
585	0.5547258565
586	0.5547021119
587	0.5546228252
588	0.554502905
589	0.5544025609
590	0.5543769188
591	0.5542756552
592	0.5541805887
593	0.554156543
594	0.5540483158
595	0.5540228245
596	0.5539825228
597	0.5539592883
598	0.553826859
599	0.5537551775
600	0.5536604551
601	0.5535253765
602	0.5534566355
603	0.5534314197
604	0.5533792039
605	0.5532954259
606	0.5532580359
607	0.5531795368
608	0.553152265
609	0.5530805936
610	0.5529486143
611	0.5529235755
612	0.5528540879
613	0.5527093077
614	0.5526285759
615	0.5525277845
616	0.5525040612
617	0.5524791943
618	0.5523790846
619	0.5522740454
620	0.5521839439
621	0.552057559
622	0.5520326304
623	0.5519985931
624	0.5519055222
625	0.5518807769
626	0.5518561132
627	0.5517443363
628	0.551666677
629	0.5516420815
630	0.5514842911
631	0.5514598356
632	0.5514242723
633	0.5513902063
634	0.5512975896
635	0.5512384873
636	0.5511925017
637	0.5511681215
638	0.5510741755
639	0.5510499106
640	0.5509622582
641	0.5508423914
642	0.5507997056
643	0.5507399106
644	0.5506899107
645	0.5506262658
646	0.550576165
647	0.5505519268
648	0.5505290685
649	0.5504478146
650	0.5504237865
651	0.5504009798
652	0.5503771409
653	0.5503533857
654	0.5502568098
655	0.5501609643
656	0.5501233381
657	0.5500083533
658	0.5499846931
659	0.5498365945
660	0.5497318738
661	0.5496317577
662	0.5496094829
663	0.5495882295
664	0.5495541394
665	0.5495306804
666	0.5494839175
667	0.5494605859
668	0.549407403
669	0.549364027
670	0.5493077432
671	0.5492574351
672	0.5491564485
673	0.5490960036
674	0.5489809065
675	0.5488893968
676	0.5488661059
677	0.5488429274
678	0.548742264
679	0.548719155
680	0.54867755
681	0.548566752
682	0.5485421777
683	0.5484685589
684	0.5484057904
685	0.5483561154
686	0.5482441765
687	0.5482212254
688	0.5481378373
689	0.5480203631
690	0.5479974487
691	0.5479729102
692	0.5477980703
693	0.5477053924
694	0.5476047459
695	0.5475711534
696	0.5475497268
697	0.547444561
698	0.5473819297
699	0.5473016168
700	0.5472541259
701	0.5471341025
702	0.5470406418
703	0.5469771589
704	0.5469305744
705	0.5468768491
706	0.5467858418
707	0.5466926944
708	0.5465387223
709	0.5464436787
710	0.5464209194
711	0.5463203565
712	0.546277488
713	0.5462370252
714	0.5461898352
715	0.5461671977
716	0.5461447349
717	0.5460541387
718	0.5460316796
719	0.5459596426
720	0.545924789
721	0.545902432
722	0.5458238692
723	0.5457941868
724	0.5457501073
725	0.5456514817
726	0.5456292267
727	0.5455680848
728	0.5454906785
729	0.545458606
730	0.5453301848
731	0.5453079524
732	0.5452858323
733	0.5451849808
734	0.5451529126
735	0.5450767314
736	0.5450187673
737	0.544996666
738	0.5448638277
739	0.5447897034
740	0.5446686994
741	0.5446489156
742	0.5445912706
743	0.5444584379
744	0.5443790446
745	0.5443611245
746	0.5442694893
747	0.5442339561
748	0.5442120061
749	0.5441260289
750	0.5440208052
751	0.5439097907
752	0.543866684
753	0.5438448319
754	0.5437383984
755	0.543717746
756	0.5436355684
757	0.5436138439
758	0.5435921792
759	0.5434716413
760	0.5434138974
761	0.5433923231
762	0.5433708044
763	0.543304755
764	0.5432722773
765	0.5431612219
766	0.5431410015
767	0.5430887503
768	0.5430600083
769	0.5430398718
770	0.5429684893
771	0.5428755885
772	0.5428104235
773	0.5427891021
774	0.5427023349
775	0.5426353742
776	0.5426141371
777	0.5425230848
778	0.5424363418
779	0.5423888413
780	0.5423676684
781	0.5422860472
782	0.5422436773
783	0.542222591
784	0.5421559386
785	0.5421349124
786	0.542095457
787	0.5420109813
788	0.5419654278
789	0.5418688923
790	0.5418407885
791	0.5418197751
792	0.5417886222
793	0.5417132595
794	0.5416299079
795	0.5416102262
796	0.5415497707
797	0.541484922
798	0.5414313005
799	0.5414103934
800	0.5412760357
801	0.5412551504
802	0.5412343568
803	0.5411827917
804	0.5410893507
805	0.5410282989
806	0.5409905023
807	0.5409697426
808	0.5408936918
809	0.5408092542
810	0.5407350055
811	0.5407151763
812	0.540635977
813	0.5405793751
814	0.540489162
815	0.5403888738
816	0.5403682135
817	0.5403214236
818	0.540300858
819	0.5402265773
820	0.5401868017
821	0.5401435839
822	0.5401230852
823	0.5400107858
824	0.5399248556
825	0.5399008052
826	0.5398803506
827	0.5398276842
828	0.5397897585
829	0.539766436
830	0.5396259255
831	0.5396059611
832	0.5395757071
833	0.5395553558
834	0.5394794216
835	0.5394568524
836	0.5394365442
837	0.5393953619
838	0.5393751029
839	0.5392875
840	0.539267348
841	0.5391663789
842	0.5391380191
843	0.5391023612
844	0.5389652157
845	0.5389463601
846	0.5389262968
847	0.5388940941
848	0.5387829375
849	0.5387628954
850	0.5387196049
851	0.5386347668
852	0.538615258
853	0.5384230811
854	0.5383531827
855	0.5383336532
856	0.5382638271
857	0.538239018
858	0.5382192313
859	0.5381871454
860	0.5381433477
861	0.5380697774
862	0.5380017898
863	0.5379611631
864	0.5379391501
865	0.5378535598
866	0.5378312206
867	0.5377540325
868	0.5377360191
869	0.5376724878
870	0.5376546056
871	0.537620341
872	0.5376006996
873	0.5375307266
874	0.5374663465
875	0.5374373309
876	0.5373715703
877	0.5373519565
878	0.5373324205
879	0.537262223
880	0.5372427145
881	0.5372232475
882	0.5372039918
883	0.5371418438
884	0.537072731
885	0.5370434955
886	0.5369992224
887	0.5369390555
888	0.5369196635
889	0.5368896005
890	0.5368605123
891	0.5368000729
892	0.5367543364
893	0.5367127868
894	0.5366934619
895	0.536672068
896	0.5365688566
897	0.5365496153
898	0.5365304341
899	0.536511317
900	0.5364903447
901	0.5364036895
902	0.5363708018
903	0.536258099
904	0.5362241519
905	0.5361848499
906	0.5360362108
907	0.5360073069
908	0.5359459005
909	0.5359170325
910	0.5358137768
911	0.5357803596
912	0.5356885402
913	0.5356034099
914	0.535574673
915	0.5355102368
916	0.5354162508
917	0.5353971169
918	0.5352931681
919	0.5352741367
920	0.5352110208
921	0.5351923305
922	0.5351695003
923	0.5351247945
924	0.5350515384
925	0.5350333802
926	0.5350144739
927	0.5349411009
928	0.5349222466
929	0.5349034421
930	0.5348058757
931	0.5347871278
932	0.5346934328
933	0.534629889
934	0.5345652456
935	0.5344995847
936	0.5344159806
937	0.5343682223
938	0.5343376829
939	0.5342869493
940	0.5342589089
941	0.534224274
942	0.5342055643
943	0.5341870351
944	0.534116492
945	0.5340408947
946	0.5340222654
947	0.5339931248
948	0.5339745381
949	0.5338878237
950	0.5337947516
951	0.5337761727
952	0.53375752
953	0.5337141917
954	0.5336424182
955	0.5335993328
956	0.5335260274
957	0.533447829
958	0.5333810946
959	0.5333067114
960	0.5332747306
961	0.5332575228
962	0.5332260151
963	0.5332059254
964	0.5331776425
965	0.5331390572
966	0.5331206678
967	0.5330581807
968	0.5329692447
969	0.5328782974
970	0.5328518773
971	0.5328335167
972	0.5328151937
973	0.5327969164
974	0.5327787281
975	0.5326829623
976	0.5326452658
977	0.5326196939
978	0.5325656104
979	0.5325484771
980	0.5325159586
981	0.5324608519
982	0.5324437347
983	0.5323742284
984	0.5323004287
985	0.5322822825
986	0.5322522593
987	0.5322238797
988	0.5321973361
989	0.532179719
990	0.5321638127
991	0.5321366334
992	0.5320614112
993	0.5320087921
994	0.531958134
995	0.5318929645
996	0.5318677724
997	0.531786812
998	0.5317541756
999	0.5317264959
