iter	Passed	Remaining
622	90530	54783
623	90686	54644
624	90843	54505
625	91026	54383
626	91200	54254
627	91360	54118
628	91510	53974
629	91666	53835
630	91807	53687
631	91973	53554
632	92119	53409
633	92265	53263
634	92406	53115
635	92550	52969
636	92691	52820
637	92839	52677
638	92997	52538
639	93150	52397
640	93292	52249
641	93437	52103
642	93576	51954
643	93717	51806
644	93866	51663
645	94026	51525
646	94165	51376
647	94310	51230
648	94447	51080
649	94600	50938
650	94733	50786
651	94880	50641
652	95052	50510
653	95198	50364
654	95343	50219
655	95485	50071
656	95624	49922
657	95775	49779
658	95927	49637
659	96081	49496
660	96213	49344
661	96356	49197
662	96482	49041
663	96635	48899
664	96778	48752
665	96940	48615
666	97084	48469
667	97224	48321
668	97362	48171
669	97508	48026
670	97644	47876
671	97791	47731
672	97940	47587
673	98085	47442
674	98217	47290
675	98367	47146
676	98517	47003
677	98653	46852
678	98790	46703
679	98947	46563
680	99089	46416
681	99227	46267
682	99368	46119
683	99513	45974
684	99649	45824
685	99792	45677
686	99943	45534
687	100093	45391
688	100240	45246
689	100383	45099
690	100528	44954
691	100673	44808
692	100814	44661
693	100972	44520
694	101115	44374
695	101271	44233
696	101411	44085
697	101561	43942
698	101693	43790
699	101841	43646
700	101989	43502
701	102129	43354
702	102272	43207
703	102420	43063
704	102558	42914
705	102703	42768
706	102840	42620
707	102997	42479
708	103140	42332
709	103290	42189
710	103425	42039
711	103573	41894
712	103703	41743
713	103856	41600
714	103999	41454
715	104144	41308
716	104284	41161
717	104429	41015
718	104563	40865
719	104704	40718
720	104850	40573
721	105000	40429
722	105138	40281
723	105284	40135
724	105413	39984
725	105556	39838
726	105690	39688
727	105838	39543
728	105984	39398
729	106141	39257
730	106292	39114
731	106435	38968
732	106581	38823
733	106732	38679
734	106886	38537
735	107036	38393
736	107172	38244
737	107320	38100
738	107464	37954
739	107610	37809
740	107755	37663
741	107912	37522
742	108055	37375
743	108211	37234
744	108350	37086
745	108509	36945
746	108648	36797
747	108799	36654
748	108946	36509
749	109095	36365
750	109238	36218
751	109392	36076
752	109527	35927
753	109669	35780
754	109823	35638
755	109984	35497
756	110133	35353
757	110285	35210
758	110433	35065
759	110582	34920
760	110752	34782
761	110910	34641
762	111052	34494
763	111208	34352
764	111344	34203
765	111493	34059
766	111674	33924
767	111857	33790
768	112032	33653
769	112217	33519
770	112379	33378
771	112554	33241
772	112717	33100
773	112905	32967
774	113068	32826
775	113255	32692
776	113431	32554
777	113620	32421
778	113810	32287
779	114001	32154
780	114210	32025
781	114408	31894
782	114610	31763
783	114883	31651
784	115090	31521
785	115289	31389
786	115497	31259
787	115696	31126
788	115895	30993
789	116077	30856
790	116239	30712
791	116432	30578
792	116592	30434
793	116777	30297
794	116934	30152
795	117102	30011
796	117261	29867
797	117421	29723
798	117563	29574
799	117706	29426
800	117866	29282
801	118018	29136
802	118171	28990
803	118319	28844
804	118472	28698
805	118640	28556
806	118795	28410
807	118961	28267
808	119110	28121
809	119262	27975
810	119405	27826
811	119558	27680
812	119772	27549
813	119995	27419
814	120231	27291
815	120527	27177
816	120780	27053
817	120940	26908
818	121096	26762
819	121242	26614
820	121398	26468
821	121537	26318
822	121688	26171
823	121845	26025
824	122005	25879
825	122155	25732
826	122307	25585
827	122450	25436
828	122598	25288
829	122756	25142
830	122917	24997
831	123075	24851
832	123228	24704
833	123370	24555
834	123522	24408
835	123662	24259
836	123819	24112
837	123958	23963
838	124113	23816
839	124262	23669
840	124411	23521
841	124575	23376
842	124751	23233
843	124902	23086
844	125057	22939
845	125199	22790
846	125351	22643
847	125494	22494
848	125646	22346
849	125800	22200
850	125948	22052
851	126108	21906
852	126277	21761
853	126439	21616
854	126680	21483
855	126878	21344
856	127066	21202
857	127263	21062
858	127434	20917
859	127595	20771
860	127789	20630
861	127968	20486
862	128137	20341
863	128277	20191
864	128430	20044
865	128589	19897
866	128758	19751
867	128899	19602
868	129050	19454
869	129200	19305
870	129357	19158
871	129501	19009
872	129659	18862
873	129808	18713
874	129956	18565
875	130105	18416
876	130252	18268
877	130395	18118
878	130546	17970
879	130701	17822
880	130855	17675
881	130997	17525
882	131147	17377
883	131294	17228
884	131447	17080
885	131592	16931
886	131760	16785
887	131903	16636
888	132055	16488
889	132199	16339
890	132348	16190
891	132499	16042
892	132663	15895
893	132806	15746
894	132955	15598
895	133100	15449
896	133252	15301
897	133394	15151
898	133544	15003
899	133698	14855
900	133853	14707
901	134006	14559
902	134154	14410
903	134303	14262
904	134449	14113
905	134581	13963
906	134746	13816
907	134890	13667
908	135044	13519
909	135198	13371
910	135347	13222
911	135480	13072
912	135645	12925
913	135816	12779
914	135995	12633
915	136157	12486
916	136341	12340
917	136517	12194
918	136710	12049
919	136858	11900
920	137019	11753
921	137160	11603
922	137312	11455
923	137448	11305
924	137607	11157
925	137762	11009
926	137915	10860
927	138070	10712
928	138215	10563
929	138355	10413
930	138498	10264
931	138678	10118
932	138852	9971
933	139038	9824
934	139206	9677
935	139361	9529
936	139499	9379
937	139670	9231
938	139810	9082
939	139963	8933
940	140100	8784
941	140251	8635
942	140390	8485
943	140533	8336
944	140691	8188
945	140838	8039
946	140977	7889
947	141124	7741
948	141266	7591
949	141412	7442
950	141563	7294
951	141721	7145
952	141854	6995
953	142000	6846
954	142136	6697
955	142282	6548
956	142427	6399
957	142584	6251
958	142733	6102
959	142873	5953
960	143011	5803
961	143155	5654
962	143295	5505
963	143437	5356
964	143604	5208
965	143750	5059
966	143896	4910
967	144046	4761
968	144185	4612
969	144335	4463
970	144471	4314
971	144652	4166
972	144802	4018
973	144964	3869
974	145118	3720
975	145280	3572
976	145431	3423
977	145613	3275
978	145764	3126
979	145930	2978
980	146087	2829
981	146259	2680
982	146426	2532
983	146621	2384
984	146783	2235
985	146936	2086
986	147081	1937
987	147228	1788
988	147361	1639
989	147504	1489
990	147655	1340
991	147798	1191
992	147938	1042
993	148082	893
994	148220	744
995	148380	595
996	148528	446
997	148705	298
998	148848	148
999	148999	0
